"name","proffesional","UsageRank","started","yrsWorking","sex","Photos"
"Donald J. Trump","Politician","A",2006,12,"male",3495
"Emma Watson","Artist","A+",2010,8,"female",102
"leo messi","Athlete","A++",2009,9,"male",303
"Narendramodi","Politician","A",2008,10,"male",183
"Hillary Clinton","Politician","B+",2008,10,"female",837
"Dipika Pallikal","Athlete","C+",2013,5,"female",482
"Vin Diesel","Artist","A+",2010,8,"male",1314
"deepika padukone","Artist","A",2010,8,"female",558
"Sarah Taylor","Athlete","C+",2014,4,"female",216
"Barack Obama","Politician","A",2007,11,"male",241
"Cristiano Ronaldo","Athlete","A++",2009,9,"male",2220
"Anushka Sharma","Artist","A",2011,7,"female",628
"Virat Kholi","Athlete","A",2012,6,"male",495
"chetri sunil","Athlete","C+",2014,4,"male",286
